score,cls_name,credit,note,cid,tid,populartiy,ct
"課堂課程：
期中測驗	15% 期末測驗	15% 
零件立體繪圖及三視圖的繪制： 
期中上機考試 15% 期末上機考試 15% 
製圖作業	30% 
出席率	10%",機電二甲,1.0, ,56,65,0.9692307692307692,56_65
依出席狀況及在校生活行為整體表現,機電二乙,0.0, ,2,94,0.8,2_94
"小考: 40%，共4次，無補考，請假需有學校完整程序與證明，可帶課本，不可交談，不可交換資料，考試時間為下午3:10-5:00，3:40以後不能進場考試，3:40以後才能交卷
期中考: 30%，無補考，請假需有學校完整程序與證明，可帶A4手寫大抄1張，可正反面寫，不可列印與影印，考試時間為下午3:10-5:00，3:40以後不能進場考試，3:40以後才能交卷
期末考: 30%，無補考，請假需有學校完整程序與證明，可帶A4手寫大抄1張，可正反面寫，不可列印與影印，考試時間為下午3:10-5:00，3:40以後不能進場考試，3:40以後才能交卷
問答加分：課堂舉手提問、舉手回答問題，每週最多可加總分1分，私底下到講台前提問無加分，加分後，當天點名不到，取消加分資格",機電二乙,3.0, ,25,86,0.9571428571428572,25_86
nan,機電二乙,2.0, ,53,95,0.7866666666666666,53_95
"平常成績(含小考及出席率) 30%
期中考   30%
期末考   40%",機電二乙,3.0, ,34,79,0.92,34_79
"作業: 電腦輔助機械製圖丙級試題繪製
 上機考:電腦輔助機械製圖丙級試題繪製
 點名",機電二乙,1.0, ,56,61,0.8153846153846154,56_61
nan,機電二丙,0.0, ,2,89,0.7428571428571429,2_89
"期中考   (30%)
期末考   (40%)
小考四次 及 課堂表現 (30%)",機電二丙,3.0, ,25,79,0.7428571428571429,25_79
平時40%(小考加作業)，期中考30%，期末考30%,機電二丙,3.0, ,34,66,0.8266666666666667,34_66
"教室授課
 習題研習
 平時成績40%
 期中考30%
 期末考30%",機電二丙,3.0, ,54,96,0.7466666666666667,54_96
"實作: 40%，三人一組
期中考: 30%，無補考，請假需有學校完整程序與證明，可帶A4大抄1張，可正反面寫，不可列印與影印
期末考: 30%，無補考，請假需有學校完整程序與證明，可帶A4大抄1張，可正反面寫，不可列印與影印
問答加分：課堂舉手提問、舉手回答問題，每週最多可加總分1分，私底下到講台前題問無加分",機電二丙,2.0, ,55,86,0.95,55_86
"學期成績計算項目及權重標準如下：
A 紙筆期中考試	10%
B 紙筆期末考試	15%
C上機期末考試	30%
D製圖作業	30%
E出席表現	15%
學科測驗(紙筆期中考試、紙筆期末考試)：
學科測驗均於課堂內隨堂施測，共計二次，包含所有講授內容。目的在於督促學生確實理解授課內容，養成隨時複習的學習習慣；學科測試時間均已排定在課程進度表中。
術科測驗(上機期末考試)：
依據勞委會技術士技能檢定作業及試場規則(電腦輔助機械製圖職類)辦理上機期末考試，試題共計20題，採用順序抽題方式進行測驗，作圖時間3小時，評分標準係參照技能檢定術科測驗評審表進行考評。機械畫期末考試採行勞委會技術士技能檢定作業規範的主要目的是導入國家考試的公正性與公平性，由於機械畫要求學生在實用技能方面較一般專業科目為多，因而要客觀地評價出學生的學習成效，必須以嚴謹的程序方能有效檢出真正可以通過評比者。
製圖作業：
機械畫為一應用科學，同時也為一實用技術，旨在培養學生擁有獨立作業的製圖能力。製圖技能養成的不二法門就是勤加練習，所謂熟能生巧即為相當貼切的描述。為了使學生提升製圖實務能力，將給予大量技能檢定電腦輔助機械製圖術科試題，以供學生充分練習。目的在於協助學生透過識圖與製圖，得以瞭解機械元件和相關原理，進而跨入設計、製造等專業領域。製圖作業每週均有主題，學生必須依據規範確實繪製，並出圖繳交作業(附帶電子檔案)，方便客觀評分。",機電二丙,1.0, ,56,97,0.8461538461538461,56_97
nan,機電三甲,0.0, ,2,98,0.7105263157894737,2_98
"1.Mideterm     30%  
  Final        40%  
  Quiz average 30%
2.期中、期末考配合學校考試時程，範圍包含講授內容和課外補充教材，期中、期 末考前各舉行一次小考，小考的目的在培養學生平時複習和考前模擬測驗。",機電三甲,3.0, ,57,84,0.84,57_84
"平時成績(30%):小考+出席
期中考(30%)
期末考(40%)",機電三甲,3.0, ,58,94,0.72,58_94
nan,機電三甲,1.0, ,59,99,0.7857142857142857,59_99
期中考: 30%; 期末考: 30%; 平時考: 40%,機電三甲,2.0, ,60,97,0.8533333333333334,60_97
課堂講授、考試、設計專題,機電三甲,3.0, ,61,98,0.84,61_98
"(1)平時成績 30%
(2)期中成績 30%
(3)期末成績 40%",機電三甲,1.0, ,62,89,0.72,62_89
-1,機電三甲,3.0,,63,100,1.0,63_100
-1,機電三甲,3.0,,64,84,0.95,64_84
出席狀況。,機電三乙,0.0, ,2,86,0.6857142857142857,2_86
"1.每個章節講授完畢後，於教科書所附之習題中勾選適當數量及內容之習題供學生自行練習，習題之解答亦於校內網路教室內公布，若學生有不理解之處，系上安排有研究生提供學生協助，老師亦安排有請益時間協助學生之學習。 
2.考試(Midterm Exam.、Final Exam. ＆ Quiz)： 
期中、期末考均配合學校考試時程。內容包含所有講授內容與參考資料中部分教材。每教完一至二章則進行隨堂小考，小考內容由勾選習題中挑選，藉以培養學生平時複習之學習習慣及瞭解學生學習之狀況，小考共進行五至六次。 
3.學期成績計算項目及權重標準如下： 
Midterm Exam. 30% 
Final Exam. 40% 
Quiz average 30%",機電三乙,3.0, ,57,73,0.76,57_73
"1. 學期成績計算項目及權重標準如下： 
A. Exam 1 (Midterm) 30 % 
B. Exam 2 (Final) 30 % 
C. Quiz and exercise average 40 % 
2. 考試(Exam 1、Exam 2 ＆ Quiz average)： 
期中、期末考配合學校考試時程。考試內容包括上課時講授內容與指定教材內容。小考共2次，分別於期中與期末考前1~2週舉行，目的在養成學生追隨上課進度,日積月累的學期態度與習慣。 
3. 指定閱讀(reading assignment)： 
4. 個案討論：(Case study) 
5. 期末專題(Term project)：",機電三乙,2.0, ,60,95,0.6666666666666666,60_95
"結報: 50%
出席率+上課紀律: 50%",機電三乙,1.0, ,62,94,0.6266666666666667,62_94
nan,機電三丙,0.0, ,2,101,0.6428571428571429,2_101
"1.學期成績計算項目及權重標準如下：
  a.期中考試30％  
b. 期末考試40％  
c.平時分數：30％
平時分數＝1+2-3
1＝全班所有考試成績總合分數最高者為85分＞全班所有考試成績總合分數中間者為75分＞全班所有考試成績總合分數最低者為65分
2＝筆記(含作業)=(最高為15分，最低為0分)
3=曠課一堂扣總分1分(約平時分數3.3分)
註：全班所有考試成績總合分數＝平時考(含不定時)+期中考+期末考",機電三丙,3.0, ,58,101,0.6,58_101
nan,機電三丙,2.0, ,60,56,0.6266666666666667,60_56
nan,機電三丙,1.0, ,62,56,0.56,62_56
nan,機電四甲,1.0, ,65,99,0.7142857142857143,65_99
-1,機電四甲,0.0,,2,66,0.8,2_66
-1,機電四甲,4.0,限機電系學生加選，請至機電系辦理選課。,67,97,0.45,67_97
-1,機電四甲,2.0,,68,106,0.8166666666666667,68_106
-1,機電四甲,3.0,,70,74,0.5333333333333333,70_74
-1,機電四甲,3.0, ,71,89,0.7222222222222222,71_89
-1,機電四甲,3.0,限已修材料力學(一)(二),72,57,0.8611111111111112,72_57
-1,機電四甲,1.0,,73,101,0.3,73_101
-1,機電四甲,3.0,,74,89,0.8611111111111112,74_89
-1,機電四甲,1.0,限機電系學生加選，請至機電系辦理選課。,75,97,0.7333333333333333,75_97
-1,機電四甲,3.0,,76,100,0.8333333333333334,76_100
"平時表現： 
藉由隨堂Q&A或選定專題進行小組討論，觀察學生學習活動的表現，包含對於學習活動的重視程度(出席率)、學習互動及表達能力等等。
考試：
針對講授內容與參考教材之進度及範圍，舉行期中與期末兩次考試。
學期成績計算項目及權重標準如下： 
1.	平時表現	   30%
2.	期中考		   30%
3.	期末考         40%",工業一甲,3.0, ,77,110,0.9833333333333333,77_110
"期中考：35％
期末考：40％
作業：10％
平時成績：15％",工業一甲,1.0, ,50,111,0.9833333333333333,50_111
"期中考 30% 
期末考 30% 
作業 +小考+其他: 40%",工業一甲,3.0, ,18,112,0.9333333333333333,18_112
nan,工業一甲,0.0, ,12,113,1.0,12_113
期中考：30%; 期末考：30%; 平時成績：20%: 會考：10%x2=20%,工業一甲,3.0, ,13,114,1.0,13_114
-1,工業一甲,2.0,,4,116,0.9347826086956522,4_116
術科60%平常30%常識10%,工業一乙,0.0, ,3,118,1.0,3_118
-1,工業一乙,2.0,,4,119,0.9782608695652174,4_119
-1,工業一乙,2.0,,4,120,0.9,4_120
-1,工業一乙,2.0,,4,121,0.8043478260869565,4_121
nan,工業二甲,0.0, ,2,122,0.85,2_122
"1.	學期成績計算項目及權重標準如下：
A.	期中考               30%
B.	期末考               30%
C.	平時成績             40%      (包含出席與作業) 
2.	考試(Exam 1、Exam 2)：
期中考、期末考(配合學校的時程)。
3.	隨堂練習：
在課堂講解過程中，遇到適當的題目或基本觀念，要求學生當場作練習或回答，用以測試學生對課程內容的了解程度。
4.	建議學生作筆記：
建議學生記下授課重點及學生個人聽講心得。",工業二甲,3.0, ,78,117,1.0,78_117
"期中考：40％
期末考：40％
實習、平時考、平時成績：20％",工業二甲,3.0, ,41,111,1.0,41_111
"平時成績30%
期中考 30%
期末考 40%",工業二甲,3.0, ,80,123,0.9166666666666666,80_123
nan,工業二甲,3.0, ,81,124,0.9666666666666667,81_124
nan,工業二甲,3.0, ,82,125,1.0,82_125
-1,工業二甲,3.0,,83,124,0.7666666666666667,83_124
-1,工業二甲,3.0,,84,112,0.9833333333333333,84_112
nan,工業二乙,0.0, ,2,126,0.8833333333333333,2_126
nan,工業三甲,0.0, ,2,127,0.7833333333333333,2_127
nan,工業三甲,3.0, ,85,128,0.95,85_128
"1. Introduction 
2. Overview of the Operations Research Approach 
3. Introduction to Linear Programming (小考)
4. Solving Linear programming problem: Simplex Method. 
5. The theory of Simplex method.(期中考) 
6. Duality Theory and Sensitivity Analysis. (小考)
7. Other Algorithms for Linear Programming 
8. Transportation and Assignment problems.(期末考) 
期中考25%，小考25%，期未考25%。",工業三甲,3.0, ,86,109,1.0,86_109
nan,工業三甲,3.0, ,87,127,0.8833333333333333,87_127
"課堂參與 25% (出缺席、課堂練習)
作業 20% (履歷寫作 10%，email寫作10%)
期中考 25% (模擬求職面試)
期末考 30% (期末簡報 + Q&A+ 學習歷程檔案)",工業三甲,2.0, ,88,129,0.8833333333333333,88_129
-1,工業三甲,3.0,,89,130,0.6166666666666667,89_130
-1,工業三甲,3.0, ,90,126,0.35,90_126
-1,工業三甲,3.0,,91,123,1.0,91_123
nan,工業三乙,0.0, ,2,110,0.8333333333333334,2_110
"課堂參與 25% (出缺席、課堂練習)
作業 20% (履歷寫作 10%，email寫作10%)
期中考 25% (模擬求職面試)
期末考 30% (期末簡報 + Q&A)",工業三乙,2.0, ,88,131,0.8166666666666667,88_131
nan,工業四甲,0.0,,2,130,0.8166666666666667,2_130
"期中考 30%
期末考 40%
平時1(實習) 20%
平時2(不定時小考、出席) 10%",工業四甲,3.0, ,92,122,0.5666666666666667,92_122
-1,工業四甲,3.0,,95,122,0.6,95_122
nan,工業四乙,0.0,,2,125,0.85,2_125
術科60%平常40%,化工一甲,0.0, ,3,136,1.0,3_136
nan,化工一甲,1.0,,96,135,0.9538461538461539,96_135
"學期成績計算項目及權重標準如下：
Midterm Exam	28%
Final Exam	28%
Quiz 	28%
Attendance / Exercise  	16%
考試：
考試內容包含所有講授內容與參考書中部分教材",化工一甲,3.0, ,19,138,1.0,19_138
"1. 出席情況；
2. 違反實驗室安全規則，如：未帶護目鏡、未穿實驗衣、穿涼鞋、短褲 ...；
3. 未帶實驗課本、實驗筆記本；
4. 實驗未知物分析結果；
5. 實驗報告；
以上規定於適當時期在理論講授時，詳加說明，告知同學。
實驗課與理論課不同，涉及同學在實驗室操作的安全，必須確實規範。",化工一甲,1.0, ,20,139,1.0,20_139
"平時成績(點名,習作,小考,會考)佔40%(會考佔10%)
期中考佔30%
期未考佔30%",化工一甲,2.0, ,21,140,1.0,21_140
"平時成績 60%
期末成績 40%",化工一甲,1.0, ,22,141,1.0,22_141
nan,化工一甲,0.0, ,12,142,1.0,12_142
"學期成績計算項目及權重標準如下：
Midterm Exam	20%
Final Exam	20%
Quiz 	40%
Attendance / Exercise  	20%
考試：
考試內容包含所有講授內容與參考書中部分教材",化工一乙,3.0, ,19,146,1.0,19_146
"1. 出席情況；
2. 違反實驗室安全規則，如：未帶護目鏡、未穿實驗衣、穿涼鞋、短褲 ...；
3. 未帶實驗課本、實驗筆記本；
4. 實驗未知物分析結果；
5. 實驗報告；
以上規定於適當時期在理論講授時，詳加說明，告知同學。
實驗課與理論課不同，涉及同學在實驗室操作的安全，必須確實規範。",化工一乙,1.0, ,20,146,1.0,20_146
"平時成績(點名,習作,小考,會考)佔40%(會考佔10%)
期中考佔30%
期未考佔30%",化工一乙,2.0, ,21,147,1.0,21_147
"總成績=期中成績(60%)+期末成績(40%)
(一)	期中成績(60%)：依據出席、報告、課堂表現、小考、MOOCs數位課程參與情況、…等評定。
(二)	期末成績(40%)
(1)	集中會考：採筆試方式，由光電學系/物理中心統一命題。
(2)	其他評量：任課老師可自行加採筆試、操作考、口試等方式評量成績。",化工一乙,1.0, ,22,148,1.0,22_148
"課堂講授, 習作演練 , 平時考核(40%) , 期中考核(30%) , 期末考核(30%)",化工一乙,3.0, ,13,149,1.0,13_149
-1,化工一乙,2.0,,4,151,0.9130434782608695,4_151
出勤狀況,化工二甲,0.0, ,2,153,0.7857142857142857,2_153
nan,化工二甲,3.0, ,25,143,0.65,25_143
"平時考：33%
期中考：33% (不參加學校集中考試)
期末考：34%",化工二甲,2.0, ,97,154,0.8555555555555555,97_154
"學期成績計算項目及權重標準如下:
實驗操作及學習態度    佔40%
各種實驗報告(共8次)  佔30%
隨堂考試(共8次)     佔30%",化工二甲,1.0, ,98,154,0.9230769230769231,98_154
